"","year","hum_dist","region","site","ppq","year.site.ppq","Dead_Branching","Dead_Columnar","Dead_Foliose","Dead_Massive","Dead_SoftCoral","Dead_Tabulate","Live_Branching","Live_Columnar","Live_Digitate","Live_Encrusting","Live_Encrusting_Columnar","Live_Foliose","Live_FreeLiving","Live_Massive","Live_SubMassive","Live_Tabulate","Macroalgae","NonCoral_Encrusting","NonCoral_Massive","NonCoral_SubMassive","Rubble","Sand","SoftCoral_Nodular","SoftCoral_Plating","NonCoral_Branching"
"1",2015,"Medium","S.Lagoon",8,1,"2015.8.1",NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0
"2",2015,"Medium","S.Lagoon",8,2,"2015.8.2",NA,0,NA,NA,0,0,NA,0,0,NA,0,NA,NA,NA,NA,0,NA,0,0,0,NA,0,NA,0,0
"3",2015,"Medium","S.Lagoon",8,3,"2015.8.3",NA,0,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,0
"4",2015,"Medium","S.Lagoon",34,1,"2015.34.1",NA,NA,0,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,0
"5",2015,"Medium","S.Lagoon",34,2,"2015.34.2",NA,0,0,NA,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,0,0,NA,NA,0,NA,0
"6",2015,"Medium","S.Lagoon",34,3,"2015.34.3",NA,0,0,NA,0,0,NA,0,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,0
"7",2015,"Medium","S.Lagoon",35,1,"2015.35.1",NA,0,0,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,0,0,0
"8",2015,"Medium","S.Lagoon",35,2,"2015.35.2",NA,0,0,NA,0,0,NA,0,0,NA,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,NA,0
"9",2015,"Medium","S.Lagoon",35,3,"2015.35.3",NA,0,0,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,0
"10",2015,"Very High","N.Lagoon",27,1,"2015.27.1",NA,0,0,NA,0,0,NA,0,0,NA,0,NA,NA,NA,0,0,NA,0,0,0,NA,NA,0,0,0
"11",2015,"Very High","N.Lagoon",27,2,"2015.27.2",0,0,0,NA,0,0,NA,0,0,0,0,0,NA,NA,0,0,NA,0,0,0,NA,NA,0,0,0
"12",2015,"Very High","N.Lagoon",27,3,"2015.27.3",NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,0,0,0,NA,NA,0,0,0
"13",2015,"Very High","N.Lagoon",30,1,"2015.30.1",NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,NA,0
"14",2015,"Very High","N.Lagoon",30,2,"2015.30.2",NA,0,0,NA,0,0,NA,0,NA,NA,0,NA,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0
"15",2015,"Very High","N.Lagoon",30,3,"2015.30.3",NA,0,0,NA,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,0,0,NA,NA,NA,NA,0
"16",2015,"Very High","N.Lagoon",32,1,"2015.32.1",NA,0,0,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,0,0,0
"17",2015,"Very High","N.Lagoon",32,2,"2015.32.2",NA,0,0,NA,0,0,NA,0,0,NA,0,NA,NA,NA,NA,0,NA,0,0,0,NA,0,NA,0,0
"18",2015,"Very High","N.Lagoon",32,3,"2015.32.3",NA,0,0,NA,0,0,NA,0,0,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,0,0,0
"19",2015,"Very Low","BOW",15,1,"2015.15.1",NA,0,NA,NA,0,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,0,0,0,0
"20",2015,"Very Low","BOW",15,2,"2015.15.2",NA,0,NA,NA,0,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,0,0,0,0
"21",2015,"Very Low","BOW",15,3,"2015.15.3",NA,0,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0
"22",2015,"Very Low","BOW",19,1,"2015.19.1",NA,0,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"23",2015,"Very Low","BOW",19,2,"2015.19.2",NA,0,NA,NA,0,NA,NA,0,0,NA,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"24",2015,"Very Low","Vaskes",5,1,"2015.5.1",NA,0,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,0,0,0,NA,0,0
"25",2015,"Very Low","Vaskes",5,2,"2015.5.2",NA,0,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,0
"26",2015,"Very Low","Vaskes",5,3,"2015.5.3",NA,0,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,0,NA,0,0
"27",2017,"Medium","S.Lagoon",8,1,"2017.8.1",NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,NA,0,NA,NA,0,0,0
"28",2017,"Medium","S.Lagoon",8,2,"2017.8.2",NA,0,0,NA,0,NA,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0
"29",2017,"Medium","S.Lagoon",8,3,"2017.8.3",NA,0,NA,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,0,0
"30",2017,"Medium","S.Lagoon",34,1,"2017.34.1",NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,0,NA,NA,0,0,0
"31",2017,"Medium","S.Lagoon",34,2,"2017.34.2",NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,0,NA,NA,0,0,0
"32",2017,"Medium","S.Lagoon",34,3,"2017.34.3",NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,0,NA,NA,0,0,0
"33",2017,"Medium","S.Lagoon",35,1,"2017.35.1",NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,0,NA,NA,0,0,0
"34",2017,"Medium","S.Lagoon",35,2,"2017.35.2",NA,0,0,NA,0,NA,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,0,NA,NA,0,0,0
"35",2017,"Medium","S.Lagoon",35,3,"2017.35.3",NA,0,0,NA,0,0,NA,0,0,NA,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,0,0,0
"36",2017,"Very High","N.Lagoon",27,1,"2017.27.1",0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,0,NA,NA,0,0,0
"37",2017,"Very High","N.Lagoon",27,2,"2017.27.2",0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,0
"38",2017,"Very High","N.Lagoon",27,3,"2017.27.3",NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,0,0,0
"39",2017,"Very High","N.Lagoon",30,1,"2017.30.1",NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,0,NA,NA,0,0,0
"40",2017,"Very High","N.Lagoon",30,2,"2017.30.2",NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,NA,0,0,0,0
"41",2017,"Very High","N.Lagoon",30,3,"2017.30.3",NA,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,NA,NA,0,0,0
"42",2017,"Very High","N.Lagoon",32,1,"2017.32.1",NA,0,0,NA,0,0,NA,0,0,0,0,0,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0,0
"43",2017,"Very High","N.Lagoon",32,2,"2017.32.2",NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,0,0,0,0,0,0,NA,NA,0,0,0
"44",2017,"Very High","N.Lagoon",32,3,"2017.32.3",NA,0,0,NA,0,0,NA,0,0,NA,0,NA,0,NA,0,0,NA,0,NA,0,NA,NA,0,0,0
"45",2017,"Very Low","BOW",15,1,"2017.15.1",NA,0,0,NA,0,NA,NA,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,NA,0,0,0,0
"46",2017,"Very Low","BOW",15,2,"2017.15.2",NA,0,NA,NA,0,NA,NA,0,0,NA,0,0,0,NA,NA,0,0,0,0,0,NA,0,0,0,0
"47",2017,"Very Low","BOW",15,3,"2017.15.3",NA,0,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,0,0,0,NA,NA,0,0,0
"48",2017,"Very Low","BOW",19,1,"2017.19.1",NA,0,0,NA,0,NA,0,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,NA,NA,0,0,0
"49",2017,"Very Low","BOW",19,2,"2017.19.2",NA,0,NA,NA,0,NA,0,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,NA,0,0,0,0
"50",2017,"Very Low","BOW",19,3,"2017.19.3",NA,0,NA,NA,0,NA,NA,0,0,NA,0,NA,0,NA,NA,0,NA,0,0,0,NA,0,0,0,0
"51",2017,"Very Low","Vaskes",5,1,"2017.5.1",NA,0,NA,NA,NA,0,0,0,0,NA,0,NA,0,NA,NA,0,NA,0,0,0,NA,0,0,0,0
"52",2017,"Very Low","Vaskes",5,2,"2017.5.2",NA,0,NA,NA,0,0,NA,0,0,NA,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,0,0,0
"53",2017,"Very Low","Vaskes",5,3,"2017.5.3",NA,0,NA,NA,NA,0,0,0,0,NA,0,NA,NA,NA,NA,0,NA,0,0,0,NA,0,0,NA,0
"54",2017,"Very Low","Vaskes",37,1,"2017.37.1",NA,0,NA,NA,0,0,NA,0,NA,NA,0,0,NA,NA,NA,0,NA,0,0,0,NA,NA,0,0,0
"55",2017,"Very Low","Vaskes",37,2,"2017.37.2",NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,NA,NA,0,0,0
"56",2017,"Very Low","Vaskes",37,3,"2017.37.3",NA,0,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,0,NA,NA,0,0,0
"57",2019,"Medium","S.Lagoon",8,1,"2019.8.1",NA,0,NA,NA,0,0,NA,0,NA,NA,0,0,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,0,0
"58",2019,"Medium","S.Lagoon",8,2,"2019.8.2",NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,NA,0,NA,0,0,NA,0
"59",2019,"Medium","S.Lagoon",8,3,"2019.8.3",NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,0,NA,NA,0,0,0
"60",2019,"Medium","S.Lagoon",34,1,"2019.34.1",NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,NA,0,NA,NA,0,0,0
"61",2019,"Medium","S.Lagoon",34,2,"2019.34.2",NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,NA,0,NA,NA,0,0,0
"62",2019,"Medium","S.Lagoon",34,3,"2019.34.3",NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,NA,0,NA,NA,0,0,0
"63",2019,"Medium","S.Lagoon",35,1,"2019.35.1",NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,0,0,0
"64",2019,"Medium","S.Lagoon",35,2,"2019.35.2",NA,0,0,NA,0,NA,NA,0,NA,NA,0,0,NA,NA,NA,0,NA,0,NA,0,NA,NA,0,0,NA
"65",2019,"Medium","S.Lagoon",35,3,"2019.35.3",NA,0,0,NA,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,0
"66",2019,"Very High","N.Lagoon",27,1,"2019.27.1",0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,0,0,0,NA,NA,0,0,0
"67",2019,"Very High","N.Lagoon",27,2,"2019.27.2",0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,0,0,0,NA,NA,0,0,0
"68",2019,"Very High","N.Lagoon",27,3,"2019.27.3",NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,NA,0,0,NA,0,0,0,NA,NA,0,0,0
"69",2019,"Very High","N.Lagoon",30,1,"2019.30.1",NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0,0,0,NA,0,0,0,NA,NA,0,0,0
"70",2019,"Very High","N.Lagoon",30,2,"2019.30.2",NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,NA,NA,0,0,0
"71",2019,"Very High","N.Lagoon",30,3,"2019.30.3",NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,0,NA,NA,NA,0,0
"72",2019,"Very High","N.Lagoon",32,1,"2019.32.1",NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0,0,0,NA,0,0,0,NA,NA,0,0,0
"73",2019,"Very High","N.Lagoon",32,2,"2019.32.2",NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,NA,0,0,NA,0,0,0,NA,NA,0,0,0
"74",2019,"Very High","N.Lagoon",32,3,"2019.32.3",0,0,0,NA,0,0,NA,0,0,NA,0,0,0,NA,0,0,0,0,0,0,NA,NA,0,0,0
"75",2019,"Very Low","Vaskes",5,1,"2019.5.1",NA,NA,0,NA,0,0,NA,0,0,NA,NA,0,NA,NA,NA,0,NA,0,0,0,NA,NA,0,NA,0
"76",2019,"Very Low","Vaskes",5,2,"2019.5.2",NA,0,0,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,0,NA,NA,0,NA,0
"77",2019,"Very Low","Vaskes",5,3,"2019.5.3",NA,0,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,NA,NA,0
"78",2019,"Very Low","Vaskes",37,1,"2019.37.1",NA,0,0,NA,0,0,NA,0,NA,NA,0,0,NA,NA,NA,0,NA,0,0,0,NA,NA,NA,0,0
"79",2019,"Very Low","Vaskes",37,2,"2019.37.2",NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,0,NA,NA,0,NA,0
"80",2019,"Very Low","Vaskes",37,3,"2019.37.3",NA,0,0,NA,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,0,NA,0,0,0,NA,0,NA,0,0
