,year,pub.site,site,ppq,DEM,vrm,vrm.max,vrm.min,pro.curv,pro.max,pro.min,plan.curv,plan.max,plan.min,year.site.ppq
1,2015,VH1,27,1,1,0.04484,0.720519423,0.000116,286.98938,395014.5313,-439685.0625,273.25477,360475.5938,-395895.9375,2015.27.1
2,2015,VH1,27,2,1,0.04193,0.589210629,0.000179,219.90472,181934.3281,-264309.9688,225.11235,315954.9688,-275768.7813,2015.27.2
3,2015,VH1,27,3,1,0.04562,0.553069174,0.000136,230.87942,251168.4844,-235072.7813,237.36122,148547.8281,-289471.3438,2015.27.3
4,2015,VH2,32,1,1,0.06613,0.880964041,0.000146,-6.66107,565655.625,-571057,5.2624,447515.9063,-643446.5625,2015.32.1
5,2015,VH2,32,2,1,0.06237,0.722725987,0.000175,178.06504,249240.5313,-208737.7813,172.79348,175790.4531,-219305.8594,2015.32.2
6,2015,VH2,32,3,1,0.05346,0.692175627,0.000088,185.98534,260284.125,-173968.4219,182.9692,118475.125,-257030.0781,2015.32.3
7,2015,VH3,30,1,1,0.076,0.84533906,0.00011,-47.73393,732030.375,-572361.5,3.67696,444790.8438,-729153.6875,2015.30.1
8,2015,VH3,30,2,1,0.05724,0.856036425,0.000033,224.84395,705957.125,-587501.5625,230.28169,475674.1875,-708680.25,2015.30.2
9,2015,VH3,30,3,1,0.0592,0.806308329,0.000119,300.99317,436405.6875,-403893.7813,284.0787,347969.9063,-275736.75,2015.30.3
10,2015,M1,8,1,1,0.07319,0.758335352,0.000186,34.64098,304241.3125,-398582.4688,63.33595,226155.2344,-262457.9375,2015.8.1
11,2015,M1,8,2,1,0.0909,0.893616319,0.000163,-212.06297,747953.75,-480392.7188,-166.01911,401888,-824148.5625,2015.8.2
12,2015,M1,8,3,1,0.06025,0.778253913,0.000061,103.79142,243811.7656,-235900.9375,101.24506,259741.6875,-280085.6563,2015.8.3
13,2015,M2,35,1,1,0.05375,0.678132296,0.00015,131.0193,283824.1563,-256261.2656,152.94625,182408.25,-194567.4531,2015.35.1
14,2015,M2,35,2,1,0.06925,0.814881504,0.000115,104.35529,474591.5625,-370621.8125,152.65,523937.2813,-548466.3125,2015.35.2
15,2015,M2,35,3,1,0.08512,0.887127161,0.000089,-60.11308,866109.625,-496138.9375,-67.9859,494678.0313,-843039.25,2015.35.3
16,2015,M3,34,1,1,0.06978,0.786201358,0.000193,95.1055,541561.625,-376324.4063,93.11068,460195.7813,-640914.8125,2015.34.1
17,2015,M3,34,2,1,0.06928,0.766717315,0.000121,104.35264,219798.1719,-214643.5781,135.3829,242711.9063,-265484.3125,2015.34.2
18,2015,M3,34,3,1,0.07234,0.814654708,0.00015,136.25805,484252.9063,-538148.5625,149.32673,585265.375,-404829.1563,2015.34.3
19,2015,VL1,15,1,1,0.08435,0.839487851,0.000095,-85.80637,601186.3125,-592380.375,-129.88917,531390.625,-530326,2015.15.1
20,2015,VL1,15,2,1,0.10977,0.857136786,0.000076,-401.93005,882428.1875,-683482.125,-411.86695,768397.6875,-711045.375,2015.15.2
21,2015,VL1,15,3,1,0.11092,0.854327261,0.000098,-346.24354,549307.5,-539793.25,-344.83466,359434.375,-747869.3125,2015.15.3
22,2015,VL3,19,1,1,0.11073,0.864876986,0.000181,-458.81829,647752.625,-459666.6875,-455.88397,697910.8125,-691175.625,2015.19.1
23,2015,VL3,19,2,1,0.09081,0.804235339,0.000107,-297.13655,554100.5625,-507745.6563,-304.05083,388154.4375,-487075.0313,2015.19.2
24,2015,VL3,5,1,1,0.09005,0.851405025,0.000169,-284.45926,446582.7188,-355475,-256.0283,328098.4375,-521451.2813,2015.5.1
25,2015,VL3,5,2,1,0.08478,0.876809716,0.000126,-417.36999,674671.0625,-568927.8125,-427.83836,583818.4375,-867381.25,2015.5.2
26,2015,VL3,5,3,1,0.07094,0.790542006,0.000088,-134.63692,325328.625,-251189.9531,-124.41281,222615.6406,-397148.0625,2015.5.3
27,2016a,VH1,27,1,1,0.04203,0.678362608,0.000026,252.28474,302682.5313,-286286.1563,253.42295,147210.7031,-185343.5938,2016a.27.1
28,2016a,VH1,27,2,1,0.02719,0.765228152,0.00004,270.07637,255157.7031,-232814.1719,243.66472,207239.2969,-153530.5469,2016a.27.2
29,2016a,VH1,27,3,1,0.02553,0.718407631,0.00005,307.80933,274331.0313,-243904.2969,304.75719,211746.8906,-215933.1875,2016a.27.3
30,2016a,VH2,32,1,1,0.04946,0.778374553,0.000044,40.52219,314312.0625,-319716.7188,43.79011,268617.4375,-502932.4375,2016a.32.1
31,2016a,VH2,32,2,1,0.03832,0.523986697,0.000101,240.45119,185455.0938,-169546.0781,237.38802,132780.9063,-165322.5313,2016a.32.2
32,2016a,VH2,32,3,1,0.03423,0.50007534,0.000031,203.96426,192051.5,-176271.0313,200.87276,77379,-75623.90625,2016a.32.3
33,2016a,VH3,30,1,1,0.05062,0.856041849,0.000121,65.20097,595698.6875,-724492.5,90.93137,467552.3125,-636218.4375,2016a.30.1
34,2016a,VH3,30,2,1,0.05386,0.789882123,0.000175,342.65283,331355.6563,-317126.6875,332.81054,189373.3125,-266904.5625,2016a.30.2
35,2016a,VH3,30,3,1,0.05165,0.694286883,0.000204,214.71545,328372,-350785.3438,223.19036,187001.625,-231631.0781,2016a.30.3
36,2016a,M1,8,1,1,0.04437,0.610498309,0.00017,148.14125,335625.6563,-351991.4375,183.39639,224081.125,-194265.6563,2016a.8.1
37,2016a,M1,8,2,1,0.06188,0.697778106,0.00021,133.14782,463595.4375,-450427.0625,168.41602,331765.2813,-297141.5625,2016a.8.2
38,2016a,M1,8,3,1,0.04143,0.661272466,0.000135,145.41329,272349.0938,-225401.5469,145.9715,214747.5781,-235829.0781,2016a.8.3
39,2016a,M2,35,1,1,0.04486,0.760293186,0.000195,107.65685,268158.6875,-226552.5625,128.98971,127004.7813,-217416.25,2016a.35.1
40,2016a,M2,35,2,1,0.05439,0.83844614,0.000131,239.08643,368435.4375,-314660.9063,261.08119,272230.4688,-377888.5625,2016a.35.2
41,2016a,M3,34,1,1,0.04254,0.576043367,0.000192,221.65004,418494.8125,-369157.2813,212.78759,261784.75,-191438.2656,2016a.34.1
42,2016a,M3,34,2,1,0.04723,0.730830073,0.00008,172.63352,249456.75,-248145.5313,202.47467,338763.2813,-143038.0469,2016a.34.2
43,2016a,M3,34,3,1,0.05124,0.755836248,0.000147,238.33426,371044,-372640.375,247.71491,470650.4375,-471436.5,2016a.34.3
44,2016a,VL1,15,1,1,0.06518,0.816547036,0.000097,36.43954,461405.4375,-487923.6563,35.83052,321769.8438,-354503.6563,2016a.15.1
45,2016a,VL3,5,1,1,0.06162,0.844273448,0.000114,68.8912,606673.1875,-517039.1875,74.97491,617746.75,-718779.125,2016a.5.1
46,2016a,VL3,5,2,1,0.06874,0.715910733,0.000095,62.0762,508645.0625,-515123.4375,62.0762,401591.8438,-609476.8125,2016a.5.2
47,2016a,VL3,5,3,1,0.05777,0.745420814,0.000066,6.42602,395039.2813,-359986.3438,-7.30889,471276.625,-319949.3438,2016a.5.3
48,2016b,VH1,27,1,1,0.02505,0.67412287,0.000022,210.87343,484928.125,-671926.25,198.41489,807017.5625,-153321.7031,2016b.27.1
49,2016b,VH1,27,2,1,0.02355,0.634667516,0.000017,158.01183,267971.0938,-240916.4375,151.73727,196277.25,-207325.3594,2016b.27.2
50,2016b,VH1,27,3,1,0.02109,0.379963875,0.000035,297.89346,147665.4219,-186260.4063,301.9988,93705.125,-62165.28906,2016b.27.3
51,2016b,VH2,32,1,1,0.04816,0.785352111,0,128.55335,403049.25,-428859.4063,134.88654,366496.9063,-397761.4063,2016b.32.1
52,2016b,VH2,32,2,1,0.03666,0.48775804,0.000087,248.72966,213863.3438,-212016.6719,242.86474,110263.125,-140214.4063,2016b.32.2
53,2016b,VH2,32,3,1,0.03582,0.572912455,0.000061,187.88409,181547.5625,-167501.4375,187.88409,137619.0938,-103564.4766,2016b.32.3
54,2016b,VH3,30,1,1,0.04051,0.942150772,0.000061,293.09005,615415.8125,-562729.75,295.56793,438732.7813,-632045,2016b.30.1
55,2016b,VH3,30,2,1,0.04236,0.640232444,0.000073,298.55999,389442.375,-393939.875,295.72134,292191.0313,-232427.6719,2016b.30.2
56,2016b,VH3,30,3,1,0.03905,0.651446223,0.000087,232.88883,375795.0625,-354917.125,224.49442,321274.7813,-232743.9063,2016b.30.3
57,2016b,M1,8,1,1,0.05503,0.831772923,0.000259,155.63292,255193.2031,-333250.3438,165.34795,284061.5938,-170576.5938,2016b.8.1
58,2016b,M1,8,2,1,0.05089,0.672915041,0.000022,104.37551,330527.9688,-323344.0313,144.95787,216150.7188,-292819.0313,2016b.8.2
59,2016b,M1,8,3,1,0.04224,0.662201047,0.000151,111.50762,260710.7969,-257092.9531,115.16822,180197.0781,-270933.0938,2016b.8.3
60,2016b,M2,35,1,1,0.03841,0.58339417,0.000081,160.48995,167077.9688,-166250.0156,183.58744,96518.32031,-124859.6875,2016b.35.1
61,2016b,M2,35,2,1,0.046,0.69468379,0.000151,227.53426,312702.625,-290444.875,256.89755,339323.375,-240698.9063,2016b.35.2
62,2016b,M2,35,3,1,0.0547,0.800034702,0.000099,199.15733,512536.875,-455171.2188,200.68704,433472,-343832.5313,2016b.35.3
63,2016b,M3,34,1,1,0.04429,0.691159427,0.000126,176.91624,322980.1875,-324936.375,167.18384,237780.3125,-233326.7031,2016b.34.1
64,2016b,M3,34,2,1,0.04092,0.719050288,0.000169,145.31572,229605.0156,-255495.1563,173.2938,290144.1563,-123465.8984,2016b.34.2
65,2016b,M3,34,3,1,0.04026,0.649150014,0.000136,142.49127,334681.375,-289573.7813,167.27645,264231.5938,-327357,2016b.34.3
66,2016b,VL1,15,1,1,0.06697,0.782115459,0.000081,131.08184,680809.875,-624025.5,108.22339,405934.9688,-396724.5625,2016b.15.1
67,2016b,VL1,15,2,1,0.07765,0.804031253,0.000073,-89.77355,646888.25,-759686.625,-53.00159,599471.6875,-759529.8125,2016b.15.2
68,2016b,VL1,15,3,1,0.08752,0.840496302,0.000087,-8.5032,744297,-929827.75,-24.42178,1006263.875,-526926.3125,2016b.15.3
69,2016b,VL3,19,1,1,0.05326,0.77727598,0.000042,45.46934,315285.875,-281559.8438,43.15739,226364.6563,-231849.4531,2016b.19.1
70,2016b,VL3,19,2,1,0.05751,0.710827827,0.000107,53.99017,312157.4063,-247892.3906,68.06234,261894.5625,-278947.2813,2016b.19.2
71,2016b,VL3,5,1,1,0.05751,0.834054232,0.000181,87.29968,378255.4688,-335997.5313,103.33549,304498.2813,-315080.2188,2016b.5.1
72,2016b,VL3,5,2,1,0.04673,0.819634795,0.000061,-9.1204,336514.6875,-321655.3125,-12.32376,216260.3125,-347443.5313,2016b.5.2
73,2016b,VL3,5,3,1,0.04831,0.695369244,0.000132,53.57608,349920.5938,-322513.5313,68.46362,386699.5313,-354352.4063,2016b.5.3
74,2017,VH1,27,1,1,0.03328,0.637458444,0.000078,172.73832,290381.7188,-275792.0938,175.10139,172825.625,-153540.0625,2017.27.1
75,2017,VH1,27,2,1,0.02947,0.537742019,0.000059,229.09551,293539.875,-264262.8438,215.83859,156496.2969,-231659.0625,2017.27.2
76,2017,VH1,27,3,1,0.02906,0.572000146,0.000064,282.15821,321709.5625,-270934.1563,285.57192,233371.5313,-181678.9688,2017.27.3
77,2017,VH2,32,1,1,0.04613,0.728579581,0.000047,183.18164,382079.875,-374225.875,191.58351,195328.3594,-190669.2813,2017.32.1
78,2017,VH2,32,2,1,0.04968,0.563986182,0.000101,273.86548,165383.9531,-159389.3125,273.0668,116280.0469,-117572.5078,2017.32.2
79,2017,VH2,32,3,1,0.05064,0.720749021,0.00002,216.34786,174494.7656,-173893.8906,222.2357,120624.6016,-155556.1875,2017.32.3
80,2017,VH3,30,1,1,0.04329,0.867582917,0.000102,91.71023,516883.375,-519348.7188,105.39384,257037.875,-581582.125,2017.30.1
81,2017,VH3,30,2,1,0.05336,0.669371247,0.000106,304.50746,366412.7813,-350994.6875,308.56657,248040.8906,-326171.5313,2017.30.2
82,2017,VH3,30,3,1,0.04572,0.636961102,0.000149,224.09641,426216.3438,-431086.2813,225.38796,318746.6875,-305737.3438,2017.30.3
83,2017,M1,8,1,1,0.04896,0.705280185,0.000244,76.85112,323205,-352514.7813,100.81334,325151.6563,-270098.6875,2017.8.1
84,2017,M1,8,2,1,0.03515,0.635500669,0.000175,-26.76793,383223.0625,-328267.5938,-50.30017,261450.2656,-204490.1875,2017.8.2
85,2017,M1,8,3,1,0.03451,0.642040551,0.000015,117.22381,399670.8438,-455518.0938,122.54938,266321.8125,-199312.125,2017.8.3
86,2017,M2,35,1,1,0.04088,0.562273979,0.000091,119.59736,267552.125,-254984.1094,136.9303,192168.8906,-212599.2656,2017.35.1
87,2017,M2,35,2,1,0.0523,0.591148973,0.000091,244.27292,325278.9375,-291313.375,261.39478,258434.2969,-296973.3125,2017.35.2
88,2017,M2,35,3,1,0.05905,0.712097347,0.000131,39.08425,323708.0625,-321196.5313,63.26074,310281.5,-254838.4063,2017.35.3
89,2017,M3,34,1,1,0.04137,0.57474637,0.00006,112.1564,268355.2813,-164397.2969,99.51,193127.5469,-193063.8594,2017.34.1
90,2017,M3,34,2,1,0.04954,0.561599135,0.000164,102.89498,247614.4219,-249847.3281,119.42059,142339.4531,-180762.125,2017.34.2
91,2017,M3,34,3,1,0.0407,0.595182896,0.000059,106.05317,342573.6563,-297724.625,116.63014,219910.875,-228417.5781,2017.34.3
92,2017,VL1,15,1,1,0.06262,0.814582109,0.000094,139.57547,418792.6563,-397248.5,159.46451,321943.2188,-318194.8125,2017.15.1
93,2017,VL1,15,2,1,0.06277,0.7985695,0.000035,109.241,512281.8438,-517176.1563,100.20853,427276.4688,-489526.0625,2017.15.2
94,2017,VL1,15,3,1,0.08272,0.847557068,0.000108,-34.42839,426233.9688,-466090.2813,-28.95806,318362.5938,-396811.5938,2017.15.3
95,2017,VL3,19,1,1,0.05562,0.769017398,0.000009,20.52698,274535.4063,-279826.0313,17.45597,198924.6563,-213130.0156,2017.19.1
96,2017,VL3,19,2,1,0.08233,0.787130415,0.000175,44.81083,357841.0938,-345246.1563,47.75199,269768.0625,-346039.125,2017.19.2
97,2017,VL3,19,3,1,0.07606,0.789282918,0.00007,134.53407,527627.875,-452351.7188,125.57444,430748.7188,-399348.5,2017.19.3
98,2017,VL3,5,1,1,0.04279,0.724355638,0.000079,99.75357,337264.4688,-331672.5625,89.75023,205174.8438,-211143.0313,2017.5.1
99,2017,VL3,5,2,1,0.04741,0.747711301,0.000058,2.74082,392884.625,-339556.4688,-7.96421,253394.375,-438698,2017.5.2
100,2017,VL3,5,3,1,0.04922,0.649120688,0.000065,63.00224,337039.375,-346757.5938,71.38313,286629.4063,-296743.0625,2017.5.3
101,2017,VL4,37,1,1,0.042,0.702760458,0.000169,207.29625,434929.7813,-483835.8125,181.26879,333437.75,-310564.7188,2017.37.1
102,2017,VL4,37,2,1,0.0402,0.732959151,0.000059,182.91322,325321.9688,-288121.0938,189.98523,348438.7188,-299009.0313,2017.37.2
103,2017,VL4,37,3,1,0.04898,0.75323534,0.000092,157.82688,599699.8125,-647118,157.15303,556502.875,-732393.3125,2017.37.3
104,2019,VH1,27,1,1,0.0559,0.630291104,0.000111,221.80973,262401.4375,-261942.2813,229.18425,133258.0469,-164264.7031,2019.27.1
105,2019,VH1,27,2,1,0.04897,0.785675108,0.000103,244.96518,247830.9844,-276570.5625,266.48813,326180.8125,-314870.625,2019.27.2
106,2019,VH1,27,3,1,0.03956,0.616858959,0.000066,383.45155,172548.125,-139411.875,382.56725,122971.1406,-106621.9609,2019.27.3
107,2019,VH2,32,1,1,0.06962,0.723078132,0.00012,6.96363,390488.125,-385714.375,19.28021,229439.4219,-309343.375,2019.32.1
108,2019,VH2,32,2,1,0.0572,0.705706,0.000022,350.78267,236349.2813,-203015.0781,364.88447,255315.0781,-229717.5781,2019.32.2
109,2019,VH2,32,3,1,0.05389,0.776883841,0.000081,164.82042,307952.9375,-290260.5,172.84561,240581.6094,-321899.5625,2019.32.3
110,2019,VH3,30,1,1,0.04828,0.766997039,0.000101,361.38339,456457.5938,-447676.625,381.92689,313070.6563,-598495.875,2019.30.1
111,2019,VH3,30,2,1,0.0628,0.753201544,0.000083,450.93306,359334.2188,-280665.8125,453.83096,241072.6094,-410408.6875,2019.30.2
112,2019,VH3,30,3,1,0.07077,0.81133604,0.000167,256.98639,337256.875,-416988.125,251.45118,410553.5,-378846.4063,2019.30.3
113,2019,M1,8,1,1,0.05554,0.76348567,0.000208,132.95338,259695.9219,-234254.0313,158.34493,445597.8438,-488651.4063,2019.8.1
114,2019,M1,8,2,1,0.07157,0.7346766,0.000093,-70.47534,336945.75,-363360,-31.1703,252439.0469,-287145.0938,2019.8.2
115,2019,M1,8,3,1,0.04052,0.683492541,0.000046,155.04336,271093.8438,-291743.625,155.06818,188571.7656,-164581.8438,2019.8.3
116,2019,M2,35,1,1,0.05431,0.763109863,0.000085,136.47952,885156.3125,-467716.75,138.08448,184308.2969,-891152.375,2019.35.1
117,2019,M2,35,2,1,0.06807,0.828125954,0.000051,231.47278,381879.5,-424599.25,241.57041,590319.75,-317492.0625,2019.35.2
118,2019,M2,35,3,1,0.07997,0.771946967,0.000119,63.95583,740830.5625,-495011.8125,100.06036,583583.0625,-888116.9375,2019.35.3
119,2019,M3,34,1,1,0.06343,0.765237808,0.000049,232.28089,406341.875,-332926.9375,222.86147,309947.1875,-304256.7188,2019.34.1
120,2019,M3,34,2,1,0.0631,0.832902253,0.000076,203.95548,356488.8125,-584450.0625,222.49062,592074.125,-303555.9375,2019.34.2
121,2019,M3,34,3,1,0.06227,0.822639346,0.000093,253.54151,442168.8125,-607597,253.37145,756984,-402254.4375,2019.34.3
122,2019,VL3,5,1,1,0.08341,0.783390284,0.000114,135.07258,520249.6563,-535138.1875,141.74423,445597.8438,-488651.4063,2019.5.1
123,2019,VL3,5,2,1,0.06876,0.824153185,0.000078,-9.98158,543913.3125,-428380.875,3.00843,451575.6563,-486384.4688,2019.5.2
124,2019,VL3,5,3,1,0.06695,0.729868472,0.000083,22.86646,284065.0625,-307119.8125,18.6722,292226.0625,-274887.6563,2019.5.3
125,2019,VL4,37,1,1,0.06835,0.865093827,0.000061,274.16811,497633.3438,-462001.7188,288.90523,765303.4375,-419389.7188,2019.37.1
126,2019,VL4,37,2,1,0.05844,0.844004333,0.000144,118.53327,461793.9375,-486987.9063,118.14825,383951.6563,-352518.0313,2019.37.2
127,2019,VL4,37,3,1,0.07258,0.783956707,0.000246,82.97602,455873.1563,-420642.7188,87.88855,734492.1875,-479564.75,2019.37.3
