"year","hum_dist","site","ppq","year.site.ppq","Dead Massive","Dead_Branching","Dead_Columnar","Dead_Foliose","Dead_Massive","Dead_SoftCoral","Dead_Tabulate","Live_Branching","Live_Columnar","Live_Digitate","Live_Encrusting","Live_Enrusting_Columnar","Live_Foliose","Live_FreeLiving","Live_Massive","Live_Massive_Grooved","Live_Porites","Live_SubMassive","Live_Tabulate","Macroalgae","NonCoral_Encrusting","NonCoral_Massive","NonCoral_SubMassive","Rubble","Sand","SoftCoral_Nodular","SoftCoral_Plating"
2015,"Medium",8,1,"8.1",0,4.45855113795287,0.898475733721392,0.0335897492695418,44.3726970403601,0,0,2.39440848313873,0.224090182719976,0,9.09566358089004,0.158969370378672,3.63431951285352,0.639613152214001,7.60473675535787,3.74167780797601,6.81418874060091,2.63409211876104,0,0.0624989597064426,0.0113697046242097,0.120742884110484,0.144908981666179,8.81509406193554,0.269043379208871,1.42955419869989,2.44171446385366
2015,"Medium",8,2,"8.2",0,3.12024586568563,0,0.0624372792415164,32.3019145453933,0,0,7.31842506367584,0,0,10.0664900171887,0,8.46974750136867,0.725675622403276,15.549493976277,6.93238724882568,6.38150976889773,5.5958771153877,0,1.29404603627922,0,0,0,1.61967075424471,0,0.562079205131077,0
2015,"Medium",8,3,"8.3",0,1.7714564390228,0,0,40.254353461596,0,0,1.37925494271647,0,0.013649124304043,5.88012395778629,0.612542714419154,3.23754729796376,0.268772184121627,7.23488543762122,1.35346215816205,20.3819406031339,1.18558729933054,0,0.516561572574018,0,0.0174596349793136,0,8.40835406365664,4.55459096885232,1.78159489611455,1.14786324364536
2015,"Medium",34,1,"34.1",0,3.76797223599405,0.584693325702267,0,40.2897520420522,0,0,4.30671407066174,0.465305748764163,0,14.8620617285865,0,0.623046686414718,0.28213139875138,7.62702197817041,2.9084954976544,11.5532917226781,2.12863966076443,0,1.49888285596646,0,0,0,4.42096118412265,0.525934451211123,0.0232946793826641,4.13180073312265
2015,"Medium",34,2,"34.2",0,4.16789674827783,0,0.0170643546820495,43.0571735265477,0,0,1.99083512889307,0,0.10564898272381,11.9004496801246,0,4.09373868822368,0.524538260752215,8.43705450236123,3.56903165912845,9.10340192599683,2.71490132583785,0,1.48493639402433,0,0,0,6.17480237383301,0.130939231457719,0,2.52758721713566
2015,"Medium",34,3,"34.3",0,2.8068752737094,0,0,41.6442324780161,0,0,2.96357732818837,0,0,12.0369709507256,0,2.69120812711363,0.168493335174066,4.62612288491166,1.67215998559775,7.71393089458789,0.815299815361681,0,1.04832304531061,0.137166685985184,0.00930791812960388,16.5150554011916,3.22610065349967,0,1.92517522249709,0
2015,"Medium",35,1,"35.1",0,1.74826011646986,0,0,36.4435120323835,0,0,4.24763851190084,0.198338567684348,0,14.4621059919056,0,0.991930294803973,0.278923765190882,9.17683308047353,2.76534829008596,13.0960131760797,0.994686038608283,0,0.131913269181367,0,0,0.266463553975929,12.7138083823228,2.48422492893337,0,0
2015,"Medium",35,2,"35.2",0,0.653053135555977,0,0,10.5753797605884,0,0,7.49910250958687,0,0,5.3163108589405,0,0.792109481709752,0,8.36098695080803,1.84436310419098,13.9597651892677,2.41452723653799,1.21368943720322,0.0498758508040427,0,0,0,41.8141377013324,1.71450345757166,0,3.79219532590242
2015,"Medium",35,3,"35.3",0,4.04207454307806,0,0,35.9515148650133,0,0,5.4223777805833,0.44303868309484,0,6.44223216910306,0,2.57320358825566,0.507894964089868,13.0979297952644,0.842506351344583,20.372776044546,2.62454710187407,0,0.829937789370035,0.973081829529905,0.102186785964205,0,4.87063041593248,0.450586073295476,0,0.453481219660758
2015,"Very High",27,1,"27.1",0,0.544537947488216,0,0,0.0239954221809832,0,0,0.442537089303411,0,0,1.16703757793121,0,0.672265598508896,0.238754138179004,0.417154070424283,0,0.349780625337328,0,0,0.332035638733574,0,0,0,86.1797744030287,9.63212748888438,0,0
2015,"Very High",27,2,"27.2",0,0,0,0,0,0,0,0.161696074359201,0,0,0,0,0,0.0778177977644456,0.0690332274186559,0,0,0,0,0.662329113240734,0,0,0,93.8557740993379,5.17334968787909,0,0
2015,"Very High",27,3,"27.3",0,0.0865606910070535,0,0,0.0144163759041609,0,0,0.0248868230203488,0,0,0.258483309845067,0,0,0.0504479503272499,0.16697772073663,0,0.151069134420562,0,0,0.0423188375393687,0,0,0,96.4000142852612,2.80482487193838,0,0
2015,"Very High",30,1,"30.1",0,1.21633961340654,0.0832894776087459,0,33.2514083022662,0,0,4.2145860916057,0,0,11.1889878681151,0.311199888880805,0.43972201731258,0.191226350823916,3.42399123825645,1.32339666819626,18.4665838098185,0.938516666069721,1.07674175656934,0.0591163103734836,0,0,0,20.6481965531834,3.06896266412514,0,0.097734723388207
2015,"Very High",30,2,"30.2",0,0.249130523415252,0,0,5.04344212330652,0,0,3.80456801559419,0,0.0218661592384929,3.53021019189179,0,0.1967829381983,0,2.36741157590722,0.273508167229137,3.32929767333445,1.73804728575678,0,0,0,0,0,77.5354639427347,1.91027140339322,0,0
2015,"Very High",30,3,"30.3",0,1.06376956912995,0,0,17.4457163171966,0,0,2.51356169669836,0,0.141923538141165,7.90158099869809,0,1.02366656418813,0.00899826741318867,4.85296177193508,0.0275178849127202,15.6409440969716,1.48196793914207,0,0.0448605663976548,0,0,0,41.4650997683678,4.87178029381927,0.0259797727666596,1.48967095422173
2015,"Very High",32,1,"32.1",0,0.473176312388104,0,0,2.68389668860945,0,0,1.21286816098593,0.04913739592049,0,0,0,0.641254577767413,0.160198034391678,0.469907985023687,0,0.111029392511681,0,0,0.289356332609239,0,0,0.0258966512392866,90.4714134153527,3.41186505320031,0,0
2015,"Very High",32,3,"32.3",0,0.0417810552722243,0,0,9.53582909836158,0,0,0.774855478542435,0,0,0.963813831716458,0,0.418835394640377,0.00907360039713874,0.491674159260934,0,0.0315576322352277,0,0,1.13346891242026,0,0,0.124718262208054,80.3611480429144,6.11324453203093,0,0
2015,"Very Low",5,1,"5.1",0,5.97291559763265,0,0.218816972755547,25.9279340196891,0,0,7.42649575116374,0.0480089198511542,0.04446681737157,19.4986244523016,0,9.33843146206621,0.375038060422146,5.96763680293204,3.55683937508566,4.34104961929582,4.5781643313154,0,0.223670965042385,0,0.066650249302793,0,0,0,12.4152566037722,0
2015,"Very Low",5,2,"5.2",16.4488060275505,0.974382410820422,0,0.0450455512601516,0,0.0563459598229894,0,2.0795810982249,0,0.0996870848192434,4.45671256755272,0,2.95692359175682,0.922082122129322,5.15065130310568,0.307321166352003,16.5161527165932,4.22702708102331,0,2.76249413127953,0,0.030498616480366,0,19.0155158979892,0.297157041965097,10.0999180876462,13.5536975436283
2015,"Very Low",15,3,"15.3",0,8.81045011815947,0,3.87062703433166,26.6070806207349,0,0.0332653488906531,9.23953188081308,0,0.116891086973392,3.14132612275864,0,30.933394199008,0.0345524754630563,0.23587531667375,0,4.44611632050251,4.62534557161603,7.8348144244651,0,0,0,0,0.0707294796097282,0,0,0
2015,"Very Low",19,1,"19.1",0,20.8938631841988,0,0.253913973243378,42.3049228886382,0,4.31552506418473,19.3758417419772,0,0,3.05199883427193,0,1.72647377071219,0.0171996764310871,0.118722766527955,0,2.06747985553522,4.34306829602768,1.24209538308061,0.00533739959017021,0.0797547496137729,0,0.123403928463596,0.0803984875034538,0,0,0
